consumer_subnet,consumer_iplist,provider_appgroup_combined,provider_app,provider_env,provider_loc,transmission,port,protocol,reported_policy_decision,draft_policy_decision,reported_by,first_detected,last_detected,num_flows
0.0.0.0,Non-RFC1918,DHCP A | INFRZZSTRUCTURE | PROD | ON PREgIOM,INFRZZSTRUCTURE,PROD,ON PREgIOM,Broadcast,67,UDP,Potentially Blocked,Potentially Blocked,Provider,2021-07-16T00:03:23Z,2021-07-16T23:48:49Z,487
0.0.0.0,Non-RFC1918,WORKSTATION | MGMT WORKSTZZTIONS | PROD | ON PREgIOM,MGMT WORKSTZZTIONS,PROD,ON PREgIOM,Broadcast,67,UDP,Potentially Blocked,Potentially Blocked,Provider,2021-07-16T06:22:55Z,2021-07-16T12:07:42Z,69
10.0.0.0,RFC1918; IPL-RFC_1918,APPLICATION | INTERMZZPPER | PROD | ON PREgIOM,INTERMZZPPER,PROD,ON PREgIOM,Unicast,0,ICMP,Potentially Blocked,Potentially Blocked,Provider,2021-07-16T00:03:11Z,2021-07-16T23:24:37Z,16
10.0.0.0,RFC1918; IPL-RFC_1918,APPLICATION | INTERMZZPPER | PROD | ON PREgIOM,INTERMZZPPER,PROD,ON PREgIOM,Unicast,2055,UDP,Potentially Blocked,Potentially Blocked,Provider,2021-07-16T00:26:01Z,2021-07-16T19:13:46Z,13
10.0.0.0,RFC1918; IPL-RFC_1918,APPLICATION | OPMZZNZZGER | PROD | ON PREgIOM,OPMZZNZZGER,PROD,ON PREgIOM,Unicast,514,UDP,Potentially Blocked,Potentially Blocked,Provider,2021-07-16T00:00:30Z,2021-07-16T23:07:03Z,166
10.0.0.0,RFC1918; IPL-RFC_1918,APPLICATION | SYSLOGS | PROD | ON PREgIOM,SYSLOGS,PROD,ON PREgIOM,Unicast,514,UDP,Potentially Blocked,Potentially Blocked,Provider,2021-07-16T00:05:23Z,2021-07-16T23:07:50Z,161
10.0.1.0,RFC1918; IPL-RFC_1918,APPLICATION | OPMZZNZZGER | PROD | ON PREgIOM,OPMZZNZZGER,PROD,ON PREgIOM,Unicast,162,UDP,Potentially Blocked,Potentially Blocked,Provider,2021-07-16T02:08:50Z,2021-07-16T22:08:51Z,11
10.0.11.0,RFC1918; IPL-RFC_1918,WEB/APP A | 10ZIG CLIENT | PROD | ON PREgIOM,10ZIG CLIENT,PROD,ON PREgIOM,Unicast,0,ICMP,Potentially Blocked,Potentially Blocked,Provider,2021-07-16T00:02:53Z,2021-07-16T23:35:02Z,1615
10.0.225.0,RFC1918; IPL-RFC_1918,APPLICATION | LPDP | PROD | ON PREgIOM,LPDP,PROD,ON PREgIOM,Unicast,445,TCP,Potentially Blocked,Potentially Blocked,Provider,2021-07-16T06:36:19Z,2021-07-16T21:53:11Z,4
10.0.225.0,RFC1918; IPL-RFC_1918,APPLICATION | LPDP | TEST | ON PREgIOM,LPDP,TEST,ON PREgIOM,Unicast,445,TCP,Potentially Blocked,Potentially Blocked,Provider,2021-07-16T00:10:11Z,2021-07-16T19:10:11Z,131
10.0.225.0,RFC1918; IPL-RFC_1918,APPLICATION | NZZME SPZZCE | PROD | ON PREgIOM,NZZME SPZZCE,PROD,ON PREgIOM,Unicast,445,TCP,Potentially Blocked,Potentially Blocked,Provider,2021-07-16T00:01:22Z,2021-07-16T23:16:27Z,76
10.0.225.0,RFC1918; IPL-RFC_1918,APPLICATION | NZZUTILUS | PROD | ON PREgIOM,NZZUTILUS,PROD,ON PREgIOM,Unicast,443,TCP,Potentially Blocked,Potentially Blocked,Provider,2021-07-16T00:01:55Z,2021-07-16T17:01:57Z,412
