consumer_appgroup_combined,consumer_app,consumer_env,consumer_loc,provider_appgroup_combined,provider_app,provider_env,provider_loc,transmission,port,protocol,reported_policy_decision,draft_policy_decision,reported_by,first_detected,last_detected,num_flows
APPLICATION | CENTRIX | PROD | ON PREgIOM,CENTRIX,PROD,ON PREgIOM,APPLICATION | NETBZZCKUP | PROD | ON PREgIOM,NETBZZCKUP,PROD,ON PREgIOM,Unicast,1556,TCP,Allowed,Allowed,Consumer,2021-07-16T02:58:04Z,2021-07-16T23:13:32Z,24
APPLICATION | CENTRIX | PROD | ON PREgIOM,CENTRIX,PROD,ON PREgIOM,APPLICATION | NETBZZCKUP | PROD | ON PREgIOM,NETBZZCKUP,PROD,ON PREgIOM,Unicast,1556,TCP,Allowed,Allowed,Provider,2021-07-16T00:32:25Z,2021-07-16T23:13:32Z,47
APPLICATION | CENTRIX | PROD | ON PREgIOM,CENTRIX,PROD,ON PREgIOM,DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,Unicast,53,UDP,Allowed,Allowed,Consumer,2021-07-16T02:37:51Z,2021-07-16T23:44:12Z,839
APPLICATION | CENTRIX | PROD | ON PREgIOM,CENTRIX,PROD,ON PREgIOM,DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,Unicast,53,UDP,Allowed,Allowed,Provider,2021-07-16T00:00:36Z,2021-07-16T23:39:42Z,1012
APPLICATION | CENTRIX | PROD | ON PREgIOM,CENTRIX,PROD,ON PREgIOM,DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,Unicast,88,TCP,Allowed,Allowed,Consumer,2021-07-16T04:28:01Z,2021-07-16T22:18:32Z,94
APPLICATION | CENTRIX | PROD | ON PREgIOM,CENTRIX,PROD,ON PREgIOM,DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,Unicast,88,TCP,Allowed,Allowed,Provider,2021-07-16T04:28:01Z,2021-07-16T20:49:49Z,32
APPLICATION | CENTRIX | PROD | ON PREgIOM,CENTRIX,PROD,ON PREgIOM,DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,Unicast,135,TCP,Allowed,Allowed,Consumer,2021-07-16T02:52:27Z,2021-07-16T23:39:42Z,389
APPLICATION | CENTRIX | PROD | ON PREgIOM,CENTRIX,PROD,ON PREgIOM,DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,Unicast,135,TCP,Allowed,Allowed,Provider,2021-07-16T00:00:37Z,2021-07-16T23:28:10Z,548
APPLICATION | CENTRIX | PROD | ON PREgIOM,CENTRIX,PROD,ON PREgIOM,DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,Unicast,389,TCP,Allowed,Allowed,Consumer,2021-07-16T02:31:52Z,2021-07-16T23:09:09Z,4415
APPLICATION | CENTRIX | PROD | ON PREgIOM,CENTRIX,PROD,ON PREgIOM,DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,Unicast,389,TCP,Allowed,Allowed,Provider,2021-07-16T00:00:37Z,2021-07-16T23:09:09Z,4869
APPLICATION | CENTRIX | PROD | ON PREgIOM,CENTRIX,PROD,ON PREgIOM,DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,Unicast,389,UDP,Allowed,Allowed,Consumer,2021-07-16T02:31:52Z,2021-07-16T23:28:10Z,135
APPLICATION | CENTRIX | PROD | ON PREgIOM,CENTRIX,PROD,ON PREgIOM,DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,Unicast,389,UDP,Allowed,Allowed,Provider,2021-07-16T00:00:36Z,2021-07-16T23:28:10Z,203
APPLICATION | CENTRIX | PROD | ON PREgIOM,CENTRIX,PROD,ON PREgIOM,DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,Unicast,445,TCP,Allowed,Allowed,Consumer,2021-07-16T02:33:29Z,2021-07-16T23:28:36Z,250
APPLICATION | CENTRIX | PROD | ON PREgIOM,CENTRIX,PROD,ON PREgIOM,DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,Unicast,445,TCP,Allowed,Allowed,Provider,2021-07-16T00:01:02Z,2021-07-16T23:33:32Z,321
APPLICATION | CENTRIX | PROD | ON PREgIOM,CENTRIX,PROD,ON PREgIOM,DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,Unicast,3268,TCP,Allowed,Allowed,Consumer,2021-07-16T18:25:09Z,2021-07-16T18:25:45Z,8
APPLICATION | CENTRIX | PROD | ON PREgIOM,CENTRIX,PROD,ON PREgIOM,DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,Unicast,3268,TCP,Allowed,Allowed,Provider,2021-07-16T18:25:09Z,2021-07-16T18:25:45Z,8
APPLICATION | CENTRIX | PROD | ON PREgIOM,CENTRIX,PROD,ON PREgIOM,DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,Unicast,49156,TCP,Allowed,Allowed,Consumer,2021-07-16T03:23:43Z,2021-07-16T23:09:09Z,38
APPLICATION | CENTRIX | PROD | ON PREgIOM,CENTRIX,PROD,ON PREgIOM,DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,Unicast,49156,TCP,Allowed,Allowed,Provider,2021-07-16T00:00:37Z,2021-07-16T23:22:48Z,59
APPLICATION | CENTRIX | PROD | ON PREgIOM,CENTRIX,PROD,ON PREgIOM,DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,Unicast,49158,TCP,Allowed,Allowed,Consumer,2021-07-16T02:53:37Z,2021-07-16T23:39:42Z,425
