consumer_appgroup_combined,consumer_app,consumer_env,consumer_loc,provider_appgroup_combined,provider_app,provider_env,provider_loc,transmission,port,protocol,reported_policy_decision,draft_policy_decision,reported_by,first_detected,last_detected,num_flows
APPLICATION | CHZZRLOTTE | PROD | ON PREgIOM,CHZZRLOTTE,PROD,ON PREgIOM,APPLICATION | CHZZRLOTTE | PROD | ON PREgIOM,CHZZRLOTTE,PROD,ON PREgIOM,Unicast,445,TCP,Allowed,Allowed,Consumer,2021-07-16T04:32:40Z,2021-07-16T19:30:20Z,61
APPLICATION | CHZZRLOTTE | PROD | ON PREgIOM,CHZZRLOTTE,PROD,ON PREgIOM,APPLICATION | CHZZRLOTTE | PROD | ON PREgIOM,CHZZRLOTTE,PROD,ON PREgIOM,Unicast,445,TCP,Potentially Blocked,Potentially Blocked,Provider,2021-07-16T00:27:13Z,2021-07-16T19:20:01Z,50
APPLICATION | IVUE | PROD | ON PREgIOM,IVUE,PROD,ON PREgIOM,APPLICATION | IVUE | PROD | ON PREgIOM,IVUE,PROD,ON PREgIOM,Multicast,1900,UDP,Allowed,Allowed,Provider,2021-07-16T00:02:46Z,2021-07-16T23:39:49Z,65
APPLICATION | NETBZZCKUP | PROD | ON PREgIOM,NETBZZCKUP,PROD,ON PREgIOM,APPLICATION | NETBZZCKUP | PROD | ON PREgIOM,NETBZZCKUP,PROD,ON PREgIOM,Unicast,1556,TCP,Allowed,Allowed,Consumer,2021-07-16T00:05:27Z,2021-07-16T23:44:05Z,28570
APPLICATION | NETBZZCKUP | PROD | ON PREgIOM,NETBZZCKUP,PROD,ON PREgIOM,APPLICATION | NETBZZCKUP | PROD | ON PREgIOM,NETBZZCKUP,PROD,ON PREgIOM,Unicast,1556,TCP,Allowed,Allowed,Provider,2021-07-16T00:05:51Z,2021-07-16T23:43:19Z,28954
APPLICATION | OKTZZ | PROD | ON PREgIOM,OKTZZ,PROD,ON PREgIOM,APPLICATION | OKTZZ | PROD | ON PREgIOM,OKTZZ,PROD,ON PREgIOM,Unicast,80,TCP,Allowed,Allowed,Consumer,2021-07-16T02:53:20Z,2021-07-16T20:13:20Z,206
APPLICATION | OKTZZ | PROD | ON PREgIOM,OKTZZ,PROD,ON PREgIOM,APPLICATION | OKTZZ | PROD | ON PREgIOM,OKTZZ,PROD,ON PREgIOM,Unicast,80,TCP,Allowed,Allowed,Provider,2021-07-16T00:02:51Z,2021-07-16T23:22:52Z,308
APPLICATION | TCM | PROD | ON PREgIOM,TCM,PROD,ON PREgIOM,APPLICATION | TCM | PROD | ON PREgIOM,TCM,PROD,ON PREgIOM,Unicast,445,TCP,Allowed,Allowed,Consumer,2021-07-16T18:02:00Z,2021-07-16T19:29:44Z,8
APPLICATION | TCM | PROD | ON PREgIOM,TCM,PROD,ON PREgIOM,APPLICATION | TCM | PROD | ON PREgIOM,TCM,PROD,ON PREgIOM,Unicast,445,TCP,Allowed,Allowed,Provider,2021-07-16T18:02:00Z,2021-07-16T19:31:04Z,8
DHCP A | INFRZZSTRUCTURE | PROD | ON PREgIOM,INFRZZSTRUCTURE,PROD,ON PREgIOM,DHCP A | INFRZZSTRUCTURE | PROD | ON PREgIOM,INFRZZSTRUCTURE,PROD,ON PREgIOM,Unicast,647,TCP,Allowed,Allowed,Consumer,2021-07-16T00:05:38Z,2021-07-16T19:35:26Z,29
DHCP A | INFRZZSTRUCTURE | PROD | ON PREgIOM,INFRZZSTRUCTURE,PROD,ON PREgIOM,DHCP A | INFRZZSTRUCTURE | PROD | ON PREgIOM,INFRZZSTRUCTURE,PROD,ON PREgIOM,Unicast,647,TCP,Allowed,Allowed,Provider,2021-07-16T00:28:38Z,2021-07-16T19:29:14Z,32
DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,Unicast,0,ICMP,Allowed,Allowed,Consumer,2021-07-16T02:59:47Z,2021-07-16T23:25:16Z,201
DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,Unicast,0,ICMP,Allowed,Allowed,Provider,2021-07-16T00:04:11Z,2021-07-16T23:34:47Z,282
DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,Unicast,53,UDP,Allowed,Allowed,Consumer,2021-07-16T00:00:51Z,2021-07-16T23:37:29Z,1512
DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,Unicast,53,UDP,Allowed,Allowed,Provider,2021-07-16T00:00:00Z,2021-07-16T23:38:08Z,1803
DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,DOMAIN CONTROLLER | ZZD | PROD | ON PREgIOM,ZZD,PROD,ON PREgIOM,Unicast,88,TCP,Allowed,Allowed,Consumer,2021-07-16T03:01:42Z,2021-07-16T23:30:07Z,459
