consumer_appgroup_combined,consumer_app,consumer_env,consumer_loc,provider_subnet,provider_iplist,transmission,port,protocol,reported_policy_decision,draft_policy_decision,reported_by,first_detected,last_detected,num_flows
APPLICATION | CENTRIX | PROD | ON PREgIOM,CENTRIX,PROD,ON PREgIOM,10.0.1.0,RFC1918; IPL-RFC_1918,Unicast,53,UDP,Allowed,Allowed,Consumer,2021-07-16T00:01:31Z,2021-07-16T21:49:34Z,27
APPLICATION | CENTRIX | PROD | ON PREgIOM,CENTRIX,PROD,ON PREgIOM,10.51.123.0,RFC1918; IPL-RFC_1918,Unicast,123,UDP,Allowed,Allowed,Consumer,2021-07-16T03:43:20Z,2021-07-16T23:10:44Z,47
APPLICATION | CENTRIX | PROD | ON PREgIOM,CENTRIX,PROD,ON PREgIOM,10.51.220.0,RFC1918; IPL-RFC_1918,Unicast,1514,UDP,Allowed,Allowed,Consumer,2021-07-16T01:40:19Z,2021-07-16T23:39:35Z,22
APPLICATION | CENTRIX | PROD | ON PREgIOM,CENTRIX,PROD,ON PREgIOM,10.51.3.0,RFC1918; IPL-RFC_1918,Unicast,37891,TCP,Allowed,Allowed,Consumer,2021-07-16T02:37:17Z,2021-07-16T23:47:48Z,1765
APPLICATION | CENTRIX | PROD | ON PREgIOM,CENTRIX,PROD,ON PREgIOM,10.51.3.0,RFC1918; IPL-RFC_1918,Unicast,37892,TCP,Allowed,Allowed,Consumer,2021-07-16T02:36:30Z,2021-07-16T23:39:57Z,134
APPLICATION | CENTRIX | PROD | ON PREgIOM,CENTRIX,PROD,ON PREgIOM,10.51.42.0,RFC1918; IPL-RFC_1918,Unicast,3128,TCP,Allowed,Allowed,Consumer,2021-07-16T00:26:16Z,2021-07-16T22:31:46Z,36
APPLICATION | CENTRIX | PROD | ON PREgIOM,CENTRIX,PROD,ON PREgIOM,13.56.121.0,IPL-INTERNET; Non-RFC1918,Unicast,443,TCP,Allowed,Allowed,Consumer,2021-07-16T05:41:07Z,2021-07-16T07:22:49Z,5
APPLICATION | CENTRIX | PROD | ON PREgIOM,CENTRIX,PROD,ON PREgIOM,210.23.91.0,IPL-INTERNET; Non-RFC1918,Unicast,80,TCP,Allowed,Allowed,Consumer,2021-07-16T03:32:34Z,2021-07-16T23:22:57Z,16
APPLICATION | CENTRIX | PROD | ON PREgIOM,CENTRIX,PROD,ON PREgIOM,50.18.194.0,IPL-INTERNET; Non-RFC1918,Unicast,443,TCP,Allowed,Allowed,Consumer,2021-07-16T00:29:26Z,2021-07-16T19:23:22Z,15
APPLICATION | CENTRIX | PROD | ON PREgIOM,CENTRIX,PROD,ON PREgIOM,54.241.197.0,IPL-INTERNET; Non-RFC1918,Unicast,443,TCP,Allowed,Allowed,Consumer,2021-07-16T00:26:09Z,2021-07-16T22:00:01Z,15
APPLICATION | CENTRIX | PROD | ON PREgIOM,CENTRIX,PROD,ON PREgIOM,64.39.104.0,IPL-INTERNET; Non-RFC1918,Unicast,443,TCP,Allowed,Allowed,Consumer,2021-07-16T03:04:20Z,2021-07-16T23:36:26Z,91
